AUT	BEL	DEU	ESP	FIN	FRA	GRC	IRL	ITA	LUX	NLD	PRT
3,6930527687	4,0334882736	38,9791908264	15,956659317	2,2522141933	25,0145931244	4,4512677193	1,6290522814	22,326461792	0,2493696958	8,0640392303	4,9112739563
3,727499485	4,1159086227	39,7772407532	16,7571220398	2,3018071651	25,6465911865	4,4740929604	1,70439744	22,7555770874	0,2623935342	8,1992292404	5,0140275955
3,7589173317	4,1783633232	39,5617790222	17,3249588013	2,3352622986	26,013053894	4,4945363998	1,7616685629	23,2295074463	0,2762253881	8,3464365005	5,0973491669
3,7642769814	4,1837496758	39,2654190063	17,7676296234	2,3603463173	26,1512889862	4,6047501564	1,7919242382	23,6820640564	0,2827039063	8,4000205994	5,1144719124
3,8011586666	4,1983933449	38,7557258606	18,3484268188	2,3644607067	26,1806411743	4,666454792	1,8265955448	24,0667247772	0,286452949	8,3636045456	5,0626592636
3,8385379314	4,2586946487	38,8270111084	19,0438270569	2,3801229	26,2362270355	4,7771444321	1,8835105896	24,1994552612	0,2923700809	8,2843589783	5,0248670578
3,8975741863	4,3411951065	38,7570877075	19,8520793915	2,4211802483	26,4280872345	4,8216695786	1,9644099474	24,3307628632	0,300560087	8,3636779785	4,9998703003
3,9781582355	4,4122800827	39,013874054	20,6584472656	2,471129179	26,7129745483	4,9129052162	2,0458142757	24,8215141296	0,3134302795	8,5693302155	5,0182433128
4,0633864403	4,5103106499	39,6471633911	21,2839126587	2,53124547	27,0781021118	4,9854216576	2,1275312901	25,0747947693	0,3296686113	8,8395662308	5,0177588463
4,1530947685	4,6184606552	40,1592826843	21,2807407379	2,5966205597	27,1997184753	5,0551552773	2,1115469933	25,0105075836	0,3487335742	8,9822673798	5,0328102112
4,1476130486	4,6365733147	40,2334251404	19,9867782593	2,5439720154	26,888010025	5,0277814865	1,9531341791	24,5028247833	0,3562172055	8,8919610977	4,8873882294
4,1909766197	4,6964278221	40,4124984741	19,6798419952	2,5370321274	26,9099521637	4,8859801292	1,8804563284	24,2797908783	0,3668771088	8,8170366287	4,8028464317
4,2705688477	4,7915844917	41,0356941223	19,1218967438	2,5808193684	27,1074390411	4,5342884064	1,8421993256	24,2853946686	0,3822614849	8,8817310333	4,6873259544
4,3317570686	4,8347873688	41,6049957275	18,2712783813	2,6155729294	27,1860790253	4,1600513458	1,8174130917	24,1363677979	0,3964247704	8,8543653488	4,4682283401
4,367082119	4,8509073257	41,9780654907	17,6009807587	2,6090457439	27,1782741547	3,9790911674	1,8406370878	23,6354980469	0,4085086882	8,7645568848	4,3099651337
4,4209952354	4,8993806839	42,4535293579	17,6126880646	2,5984916687	27,253528595	3,9877212048	1,8519502878	23,584444046	0,422449559	8,7425575256	4,3413472176
